SPEED,IMEP,ANGLE,VVT,TORQUE,BSFC,COV
3200,1202.97,11.4988752,48.07983666,138.7,260.95,2.35
3200,1298.4,10.52997848,0.04396518,148.7,263.41,1.84
3200,1299.06,10.4234375,11.55609131,150,260.45,1.95
3200,1301.4,9.725097656,23.2864502,149.1,260.69,1.83
3200,1298.84,8.781054688,34.61240234,148.8,263.26,2.03
3200,1298.12,10.73688965,47.96918945,150.1,260.9,2.21
3200,1400.03,8.772436523,0.051281738,161.9,271.71,1.42
3200,1402.24,8.397765063,11.54034624,162.5,268.47,1.54
3200,1399.62,8.127518584,23.20744083,162.2,270.5,1.64
3200,1401.05,8.201879883,34.6802002,162.2,271.51,1.25
3200,1402.04,10.18696289,47.99013672,162.6,271.25,1.24
3200,1499.93,7.843310547,0.227038574,175,276.5,1.38
3200,1498.03,7.181827074,11.97073063,174.9,278.3,1.65
3200,1503.06,7.192341549,23.9962099,175.2,279.07,1.39
3200,1499.45,8.157788086,35.74857178,174.1,274.28,1.3
3200,1499.61,7.966402582,47.1926472,175.1,294.33,1.27
3200,1600.24,6.418158255,0.228897692,187.7,299.8,1.32
3200,1598.28,5.825463867,11.82138672,187.9,294.56,1.63
3200,1601.68,6.576660156,23.94188232,187.8,290.12,1.41
3200,1599.74,6.030883789,35.5543335,186.9,291.27,1.3
3200,1598.81,7.130151367,47.1428833,187.1,305.89,1.34
3200,1699.06,5.498046875,0.100317383,199.4,305.3,1.36
3200,1701.78,4.791079812,11.58469043,199.6,305.38,1.52
3200,1701.16,5.033496094,23.29610596,200.3,301.19,1.47
3200,1699.54,2.742993164,35.05928955,198.5,333.69,1.53
3200,1700.32,6.407617188,48.04501953,200.3,324.16,1.39
3200,1809.39,4.120117188,0.142956543,213.1,333.57,1.7
3200,1791.71,3.723535156,11.60411377,211.1,328.39,1.48
3200,1772.98,3.092356221,23.22750391,209.4,319.81,1.63
3200,1793.11,2.13293457,36.11994629,209.5,336.91,1.59
3200,1781.83,4.443945313,48.02321777,209.9,339.92,1.51
,,,,,,
,,,,,,
3600,299.81,27.18310547,0.060229492,25,439.62,1.3
3600,300.09,26.85810547,12.09376221,25,440.02,1.21
3600,300.69,29.60656738,23.81286621,25.2,434.29,1.53
3600,302.04,36.14800959,35.79619034,25.2,428.5,1.56
3600,299.82,44.56784668,47.75567627,22.4,466.25,3.91
